Year,Value (PJ),Type
1977-78,1|070.4,Coal
1978-79,1|103.0,Coal
1979-80,1|168.9,Coal
1980-81,1|169.4,Coal
1981-82,1|229.2,Coal
1982-83,1|194.9,Coal
1983-84,1|228.3,Coal
1984-85,1|334.2,Coal
1985-86,1|316.4,Coal
1986-87,1|401.5,Coal
1987-88,1|430.7,Coal
1988-89,1|548.4,Coal
1989-90,1|576.1,Coal
1990-91,1|623.2,Coal
1991-92,1|640.3,Coal
1992-93,1|642.6,Coal
1993-94,1|661.4,Coal
1994-95,1|710.1,Coal
1995-96,1|775.9,Coal
1996-97,1|852.6,Coal
1997-98,1|959.5,Coal
1998-99,2|022.7,Coal
1999-00,2|052.5,Coal
2000-01,2|081.5,Coal
2001-02,2|127.8,Coal
2002-03,2|118.7,Coal
2003-04,2|221.7,Coal
2004-05,2|254.5,Coal
2005-06,2|292.7,Coal
2006-07,2|316.6,Coal
2007-08,2|300.2,Coal
2008-09,2|351.0,Coal
2009-10,2|224.8,Coal
2010-11,2|123.9,Coal
2011-12,2|074.7,Coal
2012-13,1|930.9,Coal
2013-14,1|845.8,Coal
2014-15,1|907.2,Coal
2015-16,1|954.9,Coal
2016-17,1|930.0,Coal
2017-18,1|847.3,Coal
2018-19,1|801.7,Coal
2019-20,1|706.7,Coal
2020-21,1|661.4,Coal
2021-22,1|586.8,Coal
1977-78,1|438.3,Oil
1978-79,1|440.9,Oil
1979-80,1|411.6,Oil
1980-81,1|358.6,Oil
1981-82,1|339.0,Oil
1982-83,1|262.7,Oil
1983-84,1|306.7,Oil
1984-85,1|306.6,Oil
1985-86,1|304.9,Oil
1986-87,1|315.8,Oil
1987-88,1|369.3,Oil
1988-89,1|433.2,Oil
1989-90,1|452.7,Oil
1990-91,1|440.9,Oil
1991-92,1|444.5,Oil
1992-93,1|491.7,Oil
1993-94,1|532.5,Oil
1994-95,1|606.3,Oil
1995-96,1|663.9,Oil
1996-97,1|660.6,Oil
1997-98,1|680.1,Oil
1998-99,1|698.2,Oil
1999-00,1|722.9,Oil
2000-01,1|701.5,Oil
2001-02,1|750.0,Oil
2002-03,1|801.9,Oil
2003-04,1|810.5,Oil
2004-05,1|869.0,Oil
2005-06,1|969.7,Oil
2006-07,1|988.3,Oil
2007-08,1|984.1,Oil
2008-09,2|000.7,Oil
2009-10,2|058.0,Oil
2010-11,2|212.0,Oil
2011-12,2|184.2,Oil
2012-13,2|278.0,Oil
2013-14,2|297.2,Oil
2014-15,2|236.6,Oil
2015-16,2|279.5,Oil
2016-17,2|318.0,Oil
2017-18,2|404.1,Oil
2018-19,2|424.5,Oil
2019-20,2|251.5,Oil
2020-21,2|082.0,Oil
2021-22,2|103.4,Oil
1977-78,283.0,Gas
1978-79,314.9,Gas
1979-80,362.6,Gas
1980-81,416.0,Gas
1981-82,462.0,Gas
1982-83,466.2,Gas
1983-84,490.0,Gas
1984-85,523.3,Gas
1985-86,570.7,Gas
1986-87,588.4,Gas
1987-88,610.5,Gas
1988-89,627.8,Gas
1989-90,688.1,Gas
1990-91,655.4,Gas
1991-92,678.6,Gas
1992-93,707.0,Gas
1993-94,736.8,Gas
1994-95,793.1,Gas
1995-96,797.0,Gas
1996-97,818.4,Gas
1997-98,859.3,Gas
1998-99,887.4,Gas
1999-00,921.5,Gas
2000-01,959.9,Gas
2001-02,974.7,Gas
2002-03,942.1,Gas
2003-04,974.0,Gas
2004-05,996.4,Gas
2005-06,1|000.9,Gas
2006-07,1|131.9,Gas
2007-08,1|168.7,Gas
2008-09,1|252.9,Gas
2009-10,1|257.8,Gas
2010-11,1|274.2,Gas
2011-12,1|338.5,Gas
2012-13,1|376.5,Gas
2013-14,1|383.8,Gas
2014-15,1|407.0,Gas
2015-16,1|440.3,Gas
2016-17,1|477.6,Gas
2017-18,1|534.4,Gas
2018-19,1|561.9,Gas
2019-20,1|623.8,Gas
2020-21,1|561.1,Gas
2021-22,1|559.3,Gas
1977-78,201.2,Renewables
1978-79,199.6,Renewables
1979-80,193.6,Renewables
1980-81,206.0,Renewables
1981-82,210.7,Renewables
1982-83,203.5,Renewables
1983-84,200.9,Renewables
1984-85,212.9,Renewables
1985-86,214.9,Renewables
1986-87,214.5,Renewables
1987-88,218.4,Renewables
1988-89,228.7,Renewables
1989-90,233.0,Renewables
1990-91,236.3,Renewables
1991-92,221.9,Renewables
1992-93,243.8,Renewables
1993-94,252.3,Renewables
1994-95,258.8,Renewables
1995-96,267.2,Renewables
1996-97,280.1,Renewables
1997-98,278.2,Renewables
1998-99,278.3,Renewables
1999-00,274.1,Renewables
2000-01,268.9,Renewables
2001-02,244.5,Renewables
2002-03,214.4,Renewables
2003-04,217.5,Renewables
2004-05,220.5,Renewables
2005-06,220.3,Renewables
2006-07,226.2,Renewables
2007-08,231.4,Renewables
2008-09,239.9,Renewables
2009-10,282.6,Renewables
2010-11,294.6,Renewables
2011-12,293.8,Renewables
2012-13,333.5,Renewables
2013-14,344.2,Renewables
2014-15,347.7,Renewables
2015-16,360.2,Renewables
2016-17,379.1,Renewables
2017-18,382.5,Renewables
2018-19,400.2,Renewables
2019-20,418.8,Renewables
2020-21,464.6,Renewables
2021-22,512.5,Renewables
